R_fighter,Jimmie Rivera
B_fighter,Petr Yan
Referee,Kevin MacDonald
date,2019-06-08
location,"Chicago, Illinois, USA"
Winner,Blue
title_bout,False
weight_class,Bantamweight
no_of_rounds,3
B_current_lose_streak,0.0
B_current_win_streak,4.0
B_draw,0.0
B_avg_BODY_att,17.0
B_avg_BODY_landed,14.0
B_avg_CLINCH_att,13.75
B_avg_CLINCH_landed,11.0
B_avg_DISTANCE_att,109.5
B_avg_DISTANCE_landed,48.75
B_avg_GROUND_att,13.0
B_avg_GROUND_landed,10.5
B_avg_HEAD_att,116.25
B_avg_HEAD_landed,53.75
B_avg_KD,0.5
B_avg_LEG_att,3.0
B_avg_LEG_landed,2.5
B_avg_PASS,0.5
B_avg_REV,0.25
B_avg_SIG_STR_att,136.25
B_avg_SIG_STR_landed,70.25
B_avg_SIG_STR_pct,0.5499999999999999
B_avg_SUB_ATT,0.25
B_avg_TD_att,2.5
B_avg_TD_landed,1.25
B_avg_TD_pct,0.2875
B_avg_TOTAL_STR_att,154.75
B_avg_TOTAL_STR_landed,86.75
B_longest_win_streak,4.0
B_losses,0.0
B_avg_opp_BODY_att,12.25
B_avg_opp_BODY_landed,6.0
B_avg_opp_CLINCH_att,6.0
B_avg_opp_CLINCH_landed,3.75
B_avg_opp_DISTANCE_att,94.25
B_avg_opp_DISTANCE_landed,26.75
B_avg_opp_GROUND_att,1.75
B_avg_opp_GROUND_landed,1.25
B_avg_opp_HEAD_att,82.5
B_avg_opp_HEAD_landed,21.5
B_avg_opp_KD,0.25
B_avg_opp_LEG_att,7.25
B_avg_opp_LEG_landed,4.25
B_avg_opp_PASS,0.0
B_avg_opp_REV,0.0
B_avg_opp_SIG_STR_att,102.0
B_avg_opp_SIG_STR_landed,31.75
B_avg_opp_SIG_STR_pct,0.3375
B_avg_opp_SUB_ATT,0.0
B_avg_opp_TD_att,4.5
B_avg_opp_TD_landed,0.75
B_avg_opp_TD_pct,0.0975
B_avg_opp_TOTAL_STR_att,104.75
B_avg_opp_TOTAL_STR_landed,34.25
B_total_rounds_fought,9.0
B_total_time_fought(seconds),652.0
B_total_title_bouts,0.0
B_win_by_Decision_Majority,0.0
B_win_by_Decision_Split,0.0
B_win_by_Decision_Unanimous,2.0
B_win_by_KO/TKO,2.0
B_win_by_Submission,0.0
B_win_by_TKO_Doctor_Stoppage,0.0
B_wins,4.0
B_Stance,Switch
B_Height_cms,170.18
B_Reach_cms,170.18
B_Weight_lbs,135.0
R_current_lose_streak,1.0
R_current_win_streak,0.0
R_draw,0.0
R_avg_BODY_att,18.25
R_avg_BODY_landed,10.25
R_avg_CLINCH_att,5.875
R_avg_CLINCH_landed,4.125
R_avg_DISTANCE_att,104.875
R_avg_DISTANCE_landed,41.0
R_avg_GROUND_att,1.0
R_avg_GROUND_landed,0.625
R_avg_HEAD_att,80.5
R_avg_HEAD_landed,24.0
R_avg_KD,0.375
R_avg_LEG_att,13.0
R_avg_LEG_landed,11.5
R_avg_PASS,0.125
R_avg_REV,0.0
R_avg_SIG_STR_att,111.75
R_avg_SIG_STR_landed,45.75
R_avg_SIG_STR_pct,0.36625
R_avg_SUB_ATT,0.0
R_avg_TD_att,2.25
R_avg_TD_landed,0.625
R_avg_TD_pct,0.10375
R_avg_TOTAL_STR_att,117.375
R_avg_TOTAL_STR_landed,50.75
R_longest_win_streak,5.0
R_losses,2.0
R_avg_opp_BODY_att,20.25
R_avg_opp_BODY_landed,13.375
R_avg_opp_CLINCH_att,6.875
R_avg_opp_CLINCH_landed,5.625
R_avg_opp_DISTANCE_att,103.125
R_avg_opp_DISTANCE_landed,38.5
R_avg_opp_GROUND_att,0.875
R_avg_opp_GROUND_landed,0.75
R_avg_opp_HEAD_att,77.375
R_avg_opp_HEAD_landed,20.375
R_avg_opp_KD,0.125
R_avg_opp_LEG_att,13.25
R_avg_opp_LEG_landed,11.125
R_avg_opp_PASS,0.0
R_avg_opp_REV,0.0
R_avg_opp_SIG_STR_att,110.875
R_avg_opp_SIG_STR_landed,44.875
R_avg_opp_SIG_STR_pct,0.44625
R_avg_opp_SUB_ATT,0.0
R_avg_opp_TD_att,2.375
R_avg_opp_TD_landed,0.0
R_avg_opp_TD_pct,0.0
R_avg_opp_TOTAL_STR_att,115.125
R_avg_opp_TOTAL_STR_landed,48.875
R_total_rounds_fought,20.0
R_total_time_fought(seconds),690.25
R_total_title_bouts,0.0
R_win_by_Decision_Majority,0.0
R_win_by_Decision_Split,1.0
R_win_by_Decision_Unanimous,4.0
R_win_by_KO/TKO,1.0
R_win_by_Submission,0.0
R_win_by_TKO_Doctor_Stoppage,0.0
R_wins,6.0
R_Stance,Orthodox
R_Height_cms,162.56
R_Reach_cms,172.72
R_Weight_lbs,135.0
B_age,26.0
R_age,29.0
